datetime,Los Angeles,Denver,Atlanta,Jacksonville,Miami
10/1/2012 13:00,88,62,94,88,83
10/1/2012 14:00,88,62,94,87,82
10/1/2012 15:00,88,62,94,87,82
10/1/2012 16:00,88,62,94,87,82
10/1/2012 17:00,88,63,94,86,81
10/1/2012 18:00,88,63,94,86,81
10/1/2012 19:00,88,63,94,85,81
10/1/2012 20:00,88,64,94,85,80
10/1/2012 21:00,88,64,94,84,80
10/1/2012 22:00,88,65,94,84,79
10/1/2012 23:00,88,65,94,84,79
10/2/2012 0:00,88,65,94,83,79
10/2/2012 1:00,88,66,94,83,78
10/2/2012 2:00,88,66,94,82,78
10/2/2012 3:00,88,66,94,82,78
10/2/2012 4:00,88,67,94,82,77
10/2/2012 5:00,88,67,94,81,77
10/2/2012 6:00,88,68,94,81,76
10/2/2012 7:00,88,68,94,80,76
10/2/2012 8:00,88,68,94,80,76
10/2/2012 9:00,88,69,94,80,75
10/2/2012 10:00,88,69,94,79,75
10/2/2012 11:00,88,69,94,79,75
10/2/2012 12:00,88,70,94,78,74
10/2/2012 13:00,88,70,94,78,74
10/2/2012 14:00,88,71,94,78,74
10/2/2012 15:00,88,66,94,70,78
10/2/2012 16:00,23,,100,74,83
10/2/2012 17:00,19,,88,66,83
10/2/2012 18:00,24,48,94,55,88
10/2/2012 19:00,15,,94,70,88
10/2/2012 20:00,12,,94,74,88
10/2/2012 21:00,14,,100,83,88
10/2/2012 22:00,22,,94,88,78
10/2/2012 23:00,21,,94,88,88
10/3/2012 0:00,27,,94,83,78
10/3/2012 1:00,42,36,88,83,88
10/3/2012 2:00,54,36,94,83,88
10/3/2012 3:00,57,44,94,83,94
10/3/2012 4:00,60,50,94,83,88
10/3/2012 5:00,53,61,94,88,88
10/3/2012 6:00,60,53,94,83,94
10/3/2012 7:00,60,66,100,83,88
10/3/2012 8:00,24,66,100,100,88
10/3/2012 9:00,53,65,88,88,88
10/3/2012 10:00,56,61,83,88,88
10/3/2012 11:00,26,50,93,88,94
10/3/2012 12:00,45,46,93,88,88
10/3/2012 13:00,64,43,88,83,83
10/3/2012 14:00,64,47,77,78,83
10/3/2012 15:00,56,35,72,72,77
10/3/2012 16:00,49,23,68,67,71
10/3/2012 17:00,42,11,64,62,66
10/3/2012 18:00,24,12,68,58,74
10/3/2012 19:00,21,10,72,55,83
10/3/2012 20:00,38,9,73,58,83
10/3/2012 21:00,33,8,73,66,83
10/3/2012 22:00,34,8,73,67,83
10/3/2012 23:00,35,8,73,69,83
10/4/2012 0:00,35,8,88,74,94
10/4/2012 1:00,39,10,88,74,94
10/4/2012 2:00,47,11,93,74,88
10/4/2012 3:00,60,15,88,74,88
10/4/2012 4:00,69,17,93,74,88
10/4/2012 5:00,69,33,93,83,83
10/4/2012 6:00,73,14,93,78,88
10/4/2012 7:00,57,11,100,100,80
10/4/2012 8:00,77,14,93,78,94
10/4/2012 9:00,66,16,100,100,78
10/4/2012 10:00,82,16,100,78,94
10/4/2012 11:00,82,21,93,78,88
10/4/2012 12:00,82,24,100,78,88
10/4/2012 13:00,82,20,100,83,83
10/4/2012 14:00,82,26,93,83,79
10/4/2012 15:00,93,18,82,83,66
10/4/2012 16:00,88,13,72,78,66
10/4/2012 17:00,73,9,64,78,66
10/4/2012 18:00,61,9,56,69,66
10/4/2012 19:00,54,7,60,66,66
10/4/2012 20:00,54,7,60,78,66
10/4/2012 21:00,57,13,56,78,66
10/4/2012 22:00,57,7,56,88,66
10/4/2012 23:00,60,15,64,88,70
10/5/2012 0:00,50,,82,88,74
10/5/2012 1:00,60,40,93,88,78
10/5/2012 2:00,77,20,93,94,79
10/5/2012 3:00,88,,93,94,79
10/5/2012 4:00,88,,93,100,83
10/5/2012 5:00,82,27,100,94,88
10/5/2012 6:00,82,55,93,100,94
10/5/2012 7:00,81,27,93,97,88
10/5/2012 8:00,81,,93,94,83
10/5/2012 9:00,81,32,93,94,85
10/5/2012 10:00,82,64,93,94,88
10/5/2012 11:00,88,59,100,94,83
10/5/2012 12:00,77,59,93,94,83
10/5/2012 13:00,77,59,93,88,79
10/5/2012 14:00,72,59,88,83,74
10/5/2012 15:00,72,55,73,78,66
10/5/2012 16:00,64,55,56,62,66
10/5/2012 17:00,64,70,60,66,74
10/5/2012 18:00,63,,47,83,66
10/5/2012 19:00,55,,47,78,72
10/5/2012 20:00,49,,44,88,73
10/5/2012 21:00,41,,47,88,76
10/5/2012 22:00,52,55,47,83,76
10/5/2012 23:00,60,56,53,94,76
10/6/2012 0:00,60,45,64,100,74
10/6/2012 1:00,64,48,77,94,78
10/6/2012 2:00,76,68,77,94,75
10/6/2012 3:00,82,55,82,100,78
10/6/2012 4:00,82,55,87,94,78
10/6/2012 5:00,82,64,87,88,78
10/6/2012 6:00,82,64,100,88,78
10/6/2012 7:00,90,64,,100,80
10/6/2012 8:00,89,66,46,94,81
10/6/2012 9:00,88,69,93,88,83
10/6/2012 10:00,88,64,93,100,83
10/6/2012 11:00,88,,93,100,78
10/6/2012 12:00,94,,82,94,76
10/6/2012 13:00,77,92,82,94,77
10/6/2012 14:00,94,,72,94,74
10/6/2012 15:00,82,80,64,74,70
10/6/2012 16:00,72,80,50,70,66
10/6/2012 17:00,72,69,44,62,62
10/6/2012 18:00,64,69,44,78,58
10/6/2012 19:00,56,64,42,88,55
10/6/2012 20:00,50,64,39,74,55
10/6/2012 21:00,57,64,37,74,58
10/6/2012 22:00,56,80,42,74,66
10/6/2012 23:00,56,64,41,74,70
10/7/2012 0:00,56,69,73,78,74
10/7/2012 1:00,64,74,82,78,74
10/7/2012 2:00,68,,93,78,74
10/7/2012 3:00,77,93,88,78,74
