datetime,Los Angeles,Denver,Atlanta,Jacksonville,Miami
10/1/2012 13:00,291.87,284.61,294.03,298.17,299.72
10/1/2012 14:00,291.8681855,284.6073055,294.0353414,298.2052298,299.7325177
10/1/2012 15:00,291.8628445,284.5999178,294.0497022,298.2995952,299.7665795
10/1/2012 16:00,291.8575034,284.5925301,294.064063,298.3939606,299.8006412
10/1/2012 17:00,291.8521623,284.5851423,294.0784237,298.488326,299.834703
10/1/2012 18:00,291.8468213,284.5777546,294.0927845,298.5826915,299.8687647
10/1/2012 19:00,291.8414802,284.5703669,294.1071453,298.6770569,299.9028265
10/1/2012 20:00,291.8361391,284.5629791,294.1215061,298.7714223,299.9368883
10/1/2012 21:00,291.8307981,284.5555914,294.1358668,298.8657877,299.97095
10/1/2012 22:00,291.825457,284.5482037,294.1502276,298.9601532,300.0050118
10/1/2012 23:00,291.820116,284.540816,294.1645884,299.0545186,300.0390736
10/2/2012 0:00,291.8147749,284.5334282,294.1789492,299.148884,300.0731353
10/2/2012 1:00,291.8094338,284.5260405,294.1933099,299.2432495,300.1071971
10/2/2012 2:00,291.8040928,284.5186528,294.2076707,299.3376149,300.1412588
10/2/2012 3:00,291.7987517,284.511265,294.2220315,299.4319803,300.1753206
10/2/2012 4:00,291.7934106,284.5038773,294.2363923,299.5263457,300.2093824
10/2/2012 5:00,291.7880696,284.4964896,294.250753,299.6207112,300.2434441
10/2/2012 6:00,291.7827285,284.4891018,294.2651138,299.7150766,300.2775059
10/2/2012 7:00,291.7773874,284.4817141,294.2794746,299.809442,300.3115677
10/2/2012 8:00,291.7720464,284.4743264,294.2938354,299.9038074,300.3456294
10/2/2012 9:00,291.7667053,284.4669387,294.3081961,299.9981729,300.3796912
10/2/2012 10:00,291.7613643,284.4595509,294.3225569,300.0925383,300.413753
10/2/2012 11:00,291.7560232,284.4521632,294.3369177,300.1869037,300.4478147
10/2/2012 12:00,291.7506821,284.4447755,294.3512785,300.2812691,300.4818765
10/2/2012 13:00,291.7453411,284.4373877,294.3656392,300.3756346,300.5159382
10/2/2012 14:00,291.74,284.43,294.38,300.47,300.55
10/2/2012 15:00,293.97,285.31,295.01,302.28,300.72
10/2/2012 16:00,295.59,286.45,295.04,302.7,300.91
10/2/2012 17:00,297.93,287.84,295.26,304.02,300.69
10/2/2012 18:00,303.83,289.18,295.14,304.81,299.85
10/2/2012 19:00,305.03,289.77,295.46,304.6,299.34
10/2/2012 20:00,306.12,290.57,295.77,303.64,299.31
10/2/2012 21:00,307.66,290.84,296.28,302.45,299.72
10/2/2012 22:00,307.71,291.29,295.97,300.51,299.29
10/2/2012 23:00,306.87,291.01,295.41,299.66,299.15
10/3/2012 0:00,305.7,290.03,295.36,299.02,298.66
10/3/2012 1:00,303.69,287.07,295.51,298.66,298.27
10/3/2012 2:00,302.02,285.71,295.16,298.52,298.08
10/3/2012 3:00,300.42,284.66,295.21,298.07,297.88
10/3/2012 4:00,299.64,283.5,295.1,297.95,297.92
10/3/2012 5:00,299.62,282.66,294.93,297.82,297.76
10/3/2012 6:00,296.38,282.84,295.04,297.89,297.76
10/3/2012 7:00,295.2,282.25,294.12,297.89,297.5
10/3/2012 8:00,295.2,282.25,294.07,297.89,297.56
10/3/2012 9:00,294.66,281.96,293.51,297.51,297.1
10/3/2012 10:00,294.22,282.24,292.65,297.51,297.43
